Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
22,177,62,M,42,NA,NA,13
18,176,80,M,41,M,FALSE,13
18,170,70,M,42,S,FALSE,14
27,165,75,M,42,L,TRUE,14
18,174,71,M,42,M,FALSE,13
18,171,71,M,40,M,FALSE,13
18,167.00000000000003,57,F,38,S,TRUE,14
19,163,57,F,37,S,TRUE,14
21,175,85,M,42.5,NA,TRUE,13
19,160,54,M,37,S,FALSE,13
21,170,75,M,42,M,FALSE,14
18,172,72,F,40,M,FALSE,14
19,187,78,M,44,L,FALSE,12
21,169,60,M,40,NA,NA,14
22,172,80,M,42,L,TRUE,13
22,184,75,M,46,L,FALSE,14
18,168,56,M,39,NA,TRUE,14
21,192,82,M,46,M,FALSE,13
20,168,55,M,41,S,FALSE,14
22,165,75,F,38,NA,TRUE,14
21,165,54,F,38,NA,TRUE,15
19,175,80,M,42.5,NA,TRUE,13
18,176,75,M,43,L,FALSE,13
18,173,76,M,39,NA,TRUE,14
19,NA,NA,F,39,M,FALSE,14
22,149,54,F,35,S,TRUE,15
18,164,62,F,39,NA,TRUE,15
20,172,71,M,40,M,FALSE,13
17,165,59,M,41,M,FALSE,15
21,148,43,F,35,XS,FALSE,16
18,167,62,M,40,M,NA,14
23,167,70,M,40.5,NA,FALSE,14
19,170,75,M,43,M,FALSE,14
19,170,72,F,38,L,TRUE,16
20,160,49,F,36,S,TRUE,15
20,169,73,M,42,M,TRUE,15
19,154,46,F,36,S,TRUE,15
19,174,75,M,42,M,FALSE,13
19,170,60,F,36,M,FALSE,14
23,158,63,F,37,M,TRUE,14
18,165,55,F,37,S,TRUE,14
20,159,60,F,37,M,FALSE,14
18,170,60,M,40,M,TRUE,15
18,176,74,M,42,L,FALSE,13
19,155,NA,F,38,M,FALSE,16
18,165,65,M,42,S,FALSE,14
23,177,63,M,41,M,TRUE,14
17,182,70,M,45,M,FALSE,12
22,170,67,M,42,M,TRUE,13
